id,text,file_postingan,file_profil
1,PAK JOKOWI RUNTUHKAN RENCANA LICIK SBY PRESIDEN PRABOWO BEBAS TUGASKAN AHY PARTAI BIRU DIBEKUKAN NASIB ROY CS MAKIN TRAGIS AHY DIBEBAS TUGASKAN PRESIDEN😱 PAK JOKOWI RUNTUHKAN RENCANA LICIK SBY ! PAK PRABOWO AMUK PARTAI BIRU,postingan_1.png,profil_1.png
2,"💥💥Prabowo Minta Kejagung Usut,.. Total Kekayaan Sri Mulyani Yang Mencapai Rp 92,8 Miliar 🤔😱😱",postingan_2.png,profil_2.png
3,"Secara mengejutkan Ali Mochtar Ngabalin sebut masyarakat 63g0 atau tT0lol ANDA TIDAK PANTAS DUDUK DI KURSI MENKEU PAK secara mengejutkan Ali mochtar Ngabalin secara blak-blakan singgung soal kinerja menkeu purbaya. “Saya heran, masyarakat ini bodoh atau tolol, dia belum bekerja apa2 untuk negara, ngapain masyarakat dukung dia terus” ucap Ngabalin”",postingan_3.png,profil_3.png
4,"TERBONGKAR SKANDAL DANA GELAP PUAN MAHARANI VIRALLL...!!! PUAN MAHARANI MINTA UANG PELICIN 900M PURBAYA : DULU SAYA DITOLAK MENTAH-MENTAH JADI GUBERNUR BANK BI KARENA TIDAK BISA MENYEDIAKAN UANG 900M SKANDAL DANA GELAP YANG DILAKUKAN DIRINYA (PUAN MAHARANI) BIAR HUKUM YANG MENGADILI, SAYA HANYA MENJALANKAN TUGAS”",postingan_4.png,profil_4.png
5,"EKONOMI T3RANC4M, N3GAR-SUNT1K Rp 901 T KE RAKYAT M3NKEU J4MIN T4K AD4 Y4NG K3LAPAR4N P3merint4h m3net4pkan 4PBN Siag4 1 untuk m3ngh4dapi t3kan4n ekonomi global dan m3njag4 st4bilit4s n4sional. L4ngkah ini di4mbil ag4r m4syarak4t tet4p t3rlindungi d4ri d4mpak ken4ikan h4rga k3butuh4n p0k0k. S3bany4k Rp 901 trilivn disi4pkan untuk program p3rlindung4n sosial s3perti svbsidi en3rgi, b4ntuan tun4i, dan kompens4si h4rga..",postingan_5.png,profil_5.png
6,PRESIDEN BACAKAN NOTA PENCOPOTAN AHY ! AGENDA BESAR SBY HANCUR TOTAL ! PRABOWO AMBIL MANUVER TEGAS,postingan_6.png,profil_6.png
7,PRESIDEN PRABOWO PECAT MENTERI PEMBANGKANG ! DETIK² PEMECATAN AHY KUBU ROY PANIK SBY DALANG IJAZAH!?,postingan_7.png,profil_7.png
8,PRESIDEN PRABOWO PECAT AHY DENGAN TIDAK HORMAT MALAM INI ! AHY GELAP MATA DEMOKRAT SERANG PAK JOKOWI,postingan_8.png,profil_8.png
9,“JANGAN DISKIP YA REZEKI TIDAK DATANG DUA KALI ANAK MINTA LIMA PULUH JUTA SAMPAI LIMA MILYAR TIDAK PERLU MENUNGGU LAMA HANYA BUTUH DUA JAM SAJA YANG PENTING ANAK YAKIN DAN PERCAYA ” “viral ujang bustomi mencari orang yang ingin di bantu 19 November 2025”,postingan_9.png,profil_9.png
10,Ribuan pendeta buang alquran ke sungai gangga,postingan_10.png,profil_10.png
11,Selamat Tinggal Timnas Irak. FIFA & AFC Kompak Balcklist IFA Iraq dari semua tournamen.” “LANGSUNG VIRAL! FIFA & AFC Kompak Blacklist Timnas Irak – Diduga Curang Saat Lawan Timnas Indonesia!”,postingan_11.png,profil_11.png
12,"PESAN TERAKHIR ROY, TIFA, DAN RISMON SEBELUM MASUK PENJARA BESOK! SEMUA PENDUKUNG ROY KOMPAK KABUR",postingan_12.png,profil_12.png
13,"“Direktur Utama PLN yang juga loyalis relawan Jokowi, Darmawan Prasojo. Diam-diam menjual data konsumen PLN ke perusahaan China, bagaimana caranya ?. Jadi, PLN menggunakan jasa perusahaan China untuk mencatat meteran atau pemakaian KWH listrik, mulai dari rumah pribadi, kantor, hingga instansi pemerintah, makanya sekarang sudah tidak ada lagi orang yang datang kerumah untuk mencatat pemakaian listrik pada sistem abonemen atau pasca bayar.” “DIRUT PLN JUAL DATA KONSUMEN PLN KE CINA,",postingan_13.png,profil_13.png
14,"“VAKSIN TETANUS TERBUAT DARI ; -DAGING BUSUK, JANTUNG [SAPI]. SARI PANKREAS, DARAH [SAPI] -FORMALDEHIDA...-MERKURI... -ALUMINIUM JUMLAH BANYAK."" JENIS VAKSIN TETANUS:",postingan_14.png,profil_14.png
15,"Kali ini kita akan membahas soal bencana yang terjadi di Pulau Sumatera. Tepatnya di Aceh, Sumatera Utara dan Sumatera barat. dari mulai banjir bandang sampai longsor. dari daerah aceh tengah, takengon, sibolga, tapanuli, padang, medan, bukit tinggi, pariaman dan banyak daerah lain. Kita membahas soal identifikasi masalahnya, penyebabnya, solusinya hingga urgensi soal status Bencana Nasional yang sampai hari ini belum ditetapkan pemerintah selamat menyaksikan.",postingan_15.png,profil_15.png
16,"Realita yang sering kita hadapi: Agama di negeri ini tak jarang dijadikan alat untuk menyerang, menyalahkan, dan bahkan menjatuhkan pihak yang berbeda. Padahal, peran utamanya adalah sebagai panduan introspeksi diri dan peningkatan kualitas moral personal. Di sisi lain, kita juga harus waspada terhadap pihak-pihak yang menyalahgunakan agama untuk melakukan pembodohan massal. Lantas, bagaimana kita mengembalikan fungsi agama yang sesungguhnya? Mari simak obrolan berikut untuk mendapatkan insight mendalam tentang dilema ini dan bagaimana kita bisa bersikap kritis.",postingan_16.png,profil_16.png
17,"Banyak yang bilang hidup hemat itu sulit, apalagi di tengah harga-harga yang terus melambung. Kalau menurut Menteri Keuangan Purbaya Yudhi Sadewa, kunci hidup hemat bukan soal pelit, tapi soal belanja sesuai kebutuhan dan kemampuan.Dalam episode kali ini, Menkeu Purbaya blak-blakan soal tips menjaga daya beli “in this economy”, cara sehat pakai paylater dan kartu kredit, menentukan instrumen investasi yang cocok, strategi mencapai Rp100 juta pertama untuk anak muda bergaji UMR, hingga bagaimana pemerintah menjaga keseimbangan antara belanja dan utang negara.Simak perbincangan selengkapnya hanya di The Chapter.",postingan_17.png,profil_17.png
18,"JAKARTA, KOMPAS.TV - Menteri Keuangan Purbaya Yudhi Sadewa mengungkapkan fakta baru soal polemik dugaan bandara tanpa pengawasan otoritas negara yang berada di wilayah PT Indonesia Morowali Industrial Park (IMIP) di Provinsi Sulawesi Tengah. Purbaya menilai hal tersebut disebabkan oleh adanya kesalahan kebijakan oleh pemerintah yang berwenang dalam menangani perizinan tersebut. ""Saya juga nggak ngerti kenapa tidak ada [Direktorat Jenderal] Imigrasi sama Bea Cukai. Mungkin ada kesalahan kebijakan,"" ujarnya kepada wartawan di Kompleks Parlemen, Jakarta, Kamis (27/11/2025). Purbaya mengatakan dirinya telah menyiapkan petugas Bea Cukai dan akan mengirimkannya apabila diperintahkan.",postingan_18.png,profil_18.png
19,"Kepala Badan Nasional Penanggulangan Bencana (BNPB) Letjen TNI Suharyanto mengatakan, Presiden Prabowo Subianto telah mengirimkan bantuan tahap awal di daerah banjir bandang di Sumatera Utara.Bantuan yang dikirimkan yaitu 17 perangkat internet dan 17 genset.""Kami informasikan bahwa di beberapa titik yang menonjol adalah di Tapanuli Tengah, itu listrik dan air masih mati, sehingga bantuan dari Bapak Presiden, alat komunikasi ada 17 dan genset 17, ini sangat bermanfaat,"" ucap Suharyanto dalam konferensi pers, Jumat (28/11/2025).Dia menambahkan, pemerintah pusat juga telah memperkuat penanganan  dengan mengerahkan alat berat dan alutsista untuk mempercepat pembukaan akses jalan yang masih terputus di sejumlah daerah.""Kemudian untuk menormalisasi jalur-jalur yang masih terputus,  di Sumatera Utara juga sudah diperkuat dengan alutsista dan alat-alat berat,"" kata Suharyanto.",postingan_19.png,profil_19.png
20,"Kala festival melulu soal modal, Dodo Hartoko menggugat stereotip itu di Jogja. Lewat Jogja Art+Books Festival yang mempertemukan para pecinta buku dan penikmat seni, Dodo Hartoko menyatakan festival tidak melulu harus berdana besar. Bagaimanakah Dodo Hartoko mengganti peran uang dengan pertemanan sebagai modal?",postingan_20.png,profil_20.png
21,Investasi nggak melulu untung cepat. Deposito adalah contohnya buat amanin cuan biar jadi lebih cuan lagi. Tapi emang butuh waktu. Tapi seberapa worth it sih? Gimana hitung-hitungnya? Tonton sampai habis di Gencu!,postingan_21.png,profil_21.png
